initial_n,final_n,series_name,display_group,line_name,initial_energy_ev,final_energy_ev,photon_energy_ev,photon_energy_j,frequency_hz,wavelength_m,wavelength_nm,spectral_region
2,1,Lyman,Lyman,Lyman-alpha,-3.4014232807476286,-13.605693122990514,10.204269842242885,1.6349042708272415e-18,2467381470187486,1.2150227341101819e-07,121.50227341101819,ultraviolet
3,1,Lyman,Lyman,Lyman-beta,-1.5117436803322795,-13.605693122990514,12.093949442658234,1.9376643209804345e-18,2924303964666650,1.0251754319054661e-07,102.51754319054662,ultraviolet
4,1,Lyman,Lyman,Lyman-gamma,-0.85035582018690714,-13.605693122990514,12.755337302803607,2.0436303385340519e-18,3084226837734357.5,9.7201818728814558e-08,97.201818728814558,ultraviolet
5,1,Lyman,Lyman,Lyman-delta,-0.54422772491962057,-13.605693122990514,13.061465398070894,2.0926774666588692e-18,3158248281839982,9.4923651102357964e-08,94.923651102357965,ultraviolet
6,1,Lyman,Lyman,,-0.37793592008306987,-13.605693122990514,13.227757202907444,2.1193203510723502e-18,3198457461354148.5,9.3730325202785465e-08,93.730325202785465,ultraviolet
7,1,Lyman,Lyman,,-0.27766720659164312,-13.605693122990514,13.32802591639887,2.1353851700600704e-18,3222702328408144.5,9.3025178080310818e-08,93.025178080310823,ultraviolet
8,1,Lyman,Lyman,,-0.21258895504672679,-13.605693122990514,13.393104167943788,2.1458118554607547e-18,3238438179621075.5,9.2573160694109105e-08,92.573160694109106,ultraviolet
9,1,Lyman,Lyman,,-0.16797152003691992,-13.605693122990514,13.437721602953594,2.1529603566449273e-18,3249226627407389,9.2265788871491949e-08,92.265788871491949,ultraviolet
10,1,Lyman,Lyman,,-0.13605693122990514,-13.605693122990514,13.469636191760609,2.1580736374919588e-18,3256943540647481.5,9.2047176826528947e-08,92.04717682652894,ultraviolet
3,2,Balmer,Balmer,H-alpha,-1.5117436803322795,-3.4014232807476286,1.8896796004153493,3.0276005015319293e-19,456922494479164.12,6.5611227641949827e-07,656.11227641949824,visible
4,2,Balmer,Balmer,H-beta,-0.85035582018690714,-3.4014232807476286,2.5510674605607213,4.0872606770681037e-19,616845367546871.5,4.8600909364407278e-07,486.00909364407278,visible
5,2,Balmer,Balmer,H-gamma,-0.54422772491962057,-3.4014232807476286,2.857195555828008,4.5777319583162771e-19,690866811652496.25,4.3393669075363644e-07,433.93669075363641,visible
6,2,Balmer,Balmer,H-delta,-0.37793592008306987,-3.4014232807476286,3.0234873606645585,4.8441608024510863e-19,731075991166662.5,4.1007017276218646e-07,410.07017276218647,visible
7,2,Balmer,Balmer,,-0.27766720659164312,-3.4014232807476286,3.1237560741559856,5.0048089923282907e-19,755320858220659,3.9690742647599276e-07,396.90742647599274,visible
8,2,Balmer,Balmer,,-0.21258895504672679,-3.4014232807476286,3.1888343257009018,5.1090758463351298e-19,771056709433589.38,3.8880727491525823e-07,388.80727491525823,visible
9,2,Balmer,Balmer,,-0.16797152003691992,-3.4014232807476286,3.2334517607107087,5.180560858176856e-19,781845157219903,3.8344223946594051e-07,383.44223946594053,visible
10,2,Balmer,Balmer,,-0.13605693122990514,-3.4014232807476286,3.2653663495177234,5.231693666647173e-19,789562070459995.5,3.7969460440943186e-07,379.69460440943186,ultraviolet
4,3,Paschen,Paschen,Paschen-alpha,-0.85035582018690714,-1.5117436803322795,0.6613878601453721,1.0596601755361749e-19,159922873067707.41,1.8746065040557097e-06,1874.6065040557096,infrared
5,3,Paschen,Paschen,Paschen-beta,-0.54422772491962057,-1.5117436803322795,0.96751595541265856,1.5501314567843473e-19,233944317173331.97,1.2814692898818329e-06,1281.469289881833,infrared
6,3,Paschen,Paschen,Paschen-gamma,-0.37793592008306987,-1.5117436803322795,1.1338077602492094,1.8165603009191572e-19,274153496687498.44,1.093520460699164e-06,1093.520460699164,infrared
7,3,Paschen,Paschen,Paschen-delta,-0.27766720659164312,-1.5117436803322795,1.2340764737406362,1.9772084907963619e-19,298398363741494.94,1.0046719232673566e-06,1004.6719232673566,infrared
8,3,Paschen,Paschen,,-0.21258895504672679,-1.5117436803322795,1.2991547252855524,2.081475344803201e-19,314134214954425.31,9.5434512933745203e-07,954.34512933745202,infrared
9,3,Paschen,Paschen,,-0.16797152003691992,-1.5117436803322795,1.3437721602953594,2.1529603566449272e-19,324922662740738.88,9.2265788871491941e-07,922.65788871491941,infrared
10,3,Paschen,Paschen,,-0.13605693122990514,-1.5117436803322795,1.3756867491023741,2.2040931651152442e-19,332639575980831.44,9.0125312694986038e-07,901.25312694986042,infrared
5,4,Brackett,Brackett,Brackett-alpha,-0.54422772491962057,-0.85035582018690714,0.30612809526728657,4.9047128124817247e-20,74021444105624.578,4.0500757803672729e-06,4050.0757803672727,infrared
6,4,Brackett,Brackett,Brackett-beta,-0.37793592008306987,-0.85035582018690714,0.47241990010383733,7.5690012538298232e-20,114230623619791.03,2.6244491056779931e-06,2624.449105677993,infrared
7,4,Brackett,Brackett,Brackett-gamma,-0.27766720659164312,-0.85035582018690714,0.57268861359526402,9.1754831526018674e-20,138475490673787.5,2.1649495989599606e-06,2164.9495989599604,infrared
8,4,Brackett,Brackett,Brackett-delta,-0.21258895504672679,-0.85035582018690714,0.63776686514018033,1.0218151692670259e-19,154211341886717.88,1.9440363745762911e-06,1944.0363745762911,infrared
9,4,Brackett,Brackett,,-0.16797152003691992,-0.85035582018690714,0.68238430014998719,1.093300181108752e-19,164999789673031.47,1.8169263039309184e-06,1816.9263039309183,infrared
10,4,Brackett,Brackett,,-0.13605693122990514,-0.85035582018690714,0.714298888957002,1.1444329895790693e-19,172716702913124.06,1.7357467630145458e-06,1735.7467630145456,infrared
6,5,Pfund,Pfund,Pfund-alpha,-0.37793592008306987,-0.54422772491962057,0.16629180483655076,2.6642884413480979e-20,40209179514166.445,7.4558213229488428e-06,7455.8213229488429,infrared
7,5,Pfund,Pfund,Pfund-beta,-0.27766720659164312,-0.54422772491962057,0.26656051832797745,4.2707703401201421e-20,64454046568162.914,4.6512589040155404e-06,4651.2589040155408,infrared
8,5,Pfund,Pfund,Pfund-gamma,-0.21258895504672679,-0.54422772491962057,0.33163876987289381,5.3134388801885358e-20,80189897781093.312,3.7385314895697902e-06,3738.5314895697902,infrared
9,5,Pfund,Pfund,Pfund-delta,-0.16797152003691992,-0.54422772491962057,0.37625620488270067,6.0282889986057974e-20,90978345567406.906,3.2952067454104265e-06,3295.2067454104263,infrared
10,5,Pfund,Pfund,,-0.13605693122990514,-0.54422772491962057,0.40817079368971543,6.5396170833089662e-20,98695258807499.438,3.0375568352754549e-06,3037.5568352754549,infrared
7,6,Humphreys,Higher series (n_f>=6),Humphreys-alpha,-0.27766720659164312,-0.37793592008306987,0.1002687134914267,1.6064818987720442e-20,24244867053996.465,1.2365192901752082e-05,12365.192901752082,infrared
8,6,Humphreys,Higher series (n_f>=6),Humphreys-beta,-0.21258895504672679,-0.37793592008306987,0.16534696503634302,2.6491504388404373e-20,39980718266926.852,7.4984260162228387e-06,7498.4260162228384,infrared
9,6,Humphreys,Higher series (n_f>=6),Humphreys-gamma,-0.16797152003691992,-0.37793592008306987,0.20996440004614991,3.3640005572576989e-20,50769166053240.453,5.9050104877754847e-06,5905.0104877754848,infrared
10,6,Humphreys,Higher series (n_f>=6),Humphreys-delta,-0.13605693122990514,-0.37793592008306987,0.24187898885316464,3.8753286419608683e-20,58486079293332.992,5.1258771595273315e-06,5125.877159527332,infrared
8,7,n_f=7 series,Higher series (n_f>=6),,-0.21258895504672679,-0.27766720659164312,0.065078251544916338,1.0426685400683935e-20,15735851212930.391,1.905155647084766e-05,19051.55647084766,infrared
9,7,n_f=7 series,Higher series (n_f>=6),,-0.16797152003691992,-0.27766720659164312,0.10969568655472321,1.7575186584856547e-20,26524298999243.988,1.1302559136757764e-05,11302.559136757764,infrared
10,7,n_f=7 series,Higher series (n_f>=6),,-0.13605693122990514,-0.27766720659164312,0.14161027536173798,2.2688467431888247e-20,34241212239336.535,8.7553108781469015e-06,8755.3108781469018,infrared
9,8,n_f=8 series,Higher series (n_f>=6),,-0.16797152003691992,-0.21258895504672679,0.044617435009806868,7.1485011841726114e-21,10788447786313.6,2.7788284648355212e-05,27788.284648355213,infrared
10,8,n_f=8 series,Higher series (n_f>=6),,-0.13605693122990514,-0.21258895504672679,0.076532023816821643,1.2261782031204312e-20,18505361026406.145,1.6200303121469091e-05,16200.303121469091,infrared
10,9,n_f=9 series,Higher series (n_f>=6),,-0.13605693122990514,-0.16797152003691992,0.031914588807014775,5.1132808470317003e-21,7716913240092.5459,3.8848753209049254e-05,38848.753209049253,infrared
