initial_n,final_n,series_name,line_name,ideal_energy_ev,corrected_energy_ev,ideal_frequency_hz,corrected_frequency_hz,ideal_wavelength_nm,corrected_wavelength_nm,wavelength_shift_nm,wavelength_shift_pm,relative_shift
2,1,Lyman,Lyman-alpha,10.204269842242885,10.198715448212468,2467381470187486.0,2466038423686301.0,121.5022734110182,121.56844561726741,0.06617220624922027,66.17220624922027,0.0005446170214887483
3,1,Lyman,Lyman-beta,12.093949442658234,12.087366457140702,2924303964666650.0,2922712205850430.5,102.51754319054662,102.57337598956941,0.05583279902279514,55.83279902279514,0.0005446170214888998
4,1,Lyman,Lyman-gamma,12.755337302803607,12.748394310265585,3084226837734357.5,3082548029607876.0,97.20181872881456,97.25475649381394,0.05293776499938474,52.93776499938474,0.000544617021488836
5,1,Lyman,Lyman-delta,13.061465398070894,13.054355773711958,3158248281839982.0,3156529182318465.0,94.92365110235797,94.97534813849019,0.051697036132225094,51.697036132225094,0.0005446170214889775
6,1,Lyman,,13.227757202907444,13.220557062497644,3198457461354148.5,3196716475148908.5,93.73032520278547,93.78137233332059,0.05104713053512455,51.04713053512455,0.0005446170214888739
7,1,Lyman,,13.32802591639887,13.320771197665263,3222702328408144.5,3220948145222923.0,93.02517808031082,93.07584117572038,0.050663095409561265,50.663095409561265,0.0005446170214887697
8,1,Lyman,,13.393104167943788,13.385814025778863,3238438179621075.5,3236675431088270.0,92.5731606941091,92.62357761315613,0.05041691904702361,50.41691904702361,0.0005446170214887336
9,1,Lyman,,13.437721602953594,13.43040717460078,3249226627407389.0,3247458006500478.5,92.26578887149195,92.31603839061246,0.05024951912051279,50.24951912051279,0.000544617021488869
10,1,Lyman,,13.469636191760609,13.462304391640457,3256943540647481.5,3255170719265917.0,92.04717682652894,92.09730728580867,0.05013045927972826,50.13045927972826,0.0005446170214889214
3,2,Balmer,H-alpha,1.8896796004153493,1.888651008928235,456922494479164.1,456673782164129.8,656.1122764194982,656.4696063332441,0.35732991374584344,357.32991374584344,0.0005446170214888306
4,2,Balmer,H-beta,2.5510674605607213,2.549678862053117,616845367546871.5,616509605921575.2,486.0090936440728,486.27378246906966,0.26468882499688107,264.68882499688107,0.0005446170214887483
